firstName,lastName,playerteamCity,playerteamName,opponentteamCity,opponentteamName,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,startingPosition,gameDate
Josh,Hart,New York,Knicks,San Antonio,Spurs,1.0,0.0,39.16666666666666,13.0,2.0,0.0,0.0,11.0,4.0,6.0,3.0,3.0,2.0,8.0,3.0,11.0,3.0,1.0,15.0,F,2026-06-13 20:30:00
OG,Anunoby,New York,Knicks,San Antonio,Spurs,1.0,0.0,32.78333333333333,11.0,0.0,1.0,3.0,11.0,3.0,5.0,1.0,6.0,4.0,8.0,0.0,8.0,5.0,1.0,2.0,F,2026-06-13 20:30:00
Jeremy,Sochan,New York,Knicks,San Antonio,Spurs,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2026-06-13 20:30:00
Jordan,McLaughlin,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Jordan,Clarkson,New York,Knicks,San Antonio,Spurs,1.0,0.0,6.116666666666666,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,,2026-06-13 20:30:00
Harrison,Barnes,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Landry,Shamet,New York,Knicks,San Antonio,Spurs,1.0,0.0,13.216666666666669,5.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,-14.0,,2026-06-13 20:30:00
Mohamed,Diawara,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Karl-Anthony,Towns,New York,Knicks,San Antonio,Spurs,1.0,0.0,22.73333333333333,2.0,1.0,1.0,3.0,7.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,10.0,6.0,5.0,-4.0,C,2026-06-13 20:30:00
Mason,Plumlee,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Devin,Vassell,San Antonio,Spurs,New York,Knicks,0.0,1.0,39.2,12.0,2.0,1.0,2.0,8.0,5.0,5.0,2.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,-11.0,F,2026-06-13 20:30:00
Carter,Bryant,San Antonio,Spurs,New York,Knicks,0.0,1.0,5.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,,2026-06-13 20:30:00
Jose,Alvarado,New York,Knicks,San Antonio,Spurs,1.0,0.0,11.416666666666666,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-11.0,,2026-06-13 20:30:00
Mikal,Bridges,New York,Knicks,San Antonio,Spurs,1.0,0.0,38.56666666666667,14.0,4.0,1.0,0.0,10.0,5.0,7.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,6.0,G,2026-06-13 20:30:00
Victor,Wembanyama,San Antonio,Spurs,New York,Knicks,0.0,1.0,37.86666666666667,19.0,2.0,5.0,0.0,19.0,7.0,6.0,1.0,5.0,4.0,8.0,6.0,14.0,3.0,2.0,-3.0,C,2026-06-13 20:30:00
Kelly,Olynyk,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Bismack,Biyombo,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Tyler,Kolek,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Miles,McBride,New York,Knicks,San Antonio,Spurs,1.0,0.0,12.883333333333333,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,2026-06-13 20:30:00
Jalen,Brunson,New York,Knicks,San Antonio,Spurs,1.0,0.0,41.11666666666667,45.0,3.0,0.0,2.0,27.0,14.0,7.0,4.0,15.0,13.0,2.0,1.0,3.0,1.0,3.0,10.0,G,2026-06-13 20:30:00
Lindy,Waters III,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Dylan,Harper,San Antonio,Spurs,New York,Knicks,0.0,1.0,31.116666666666667,25.0,4.0,1.0,0.0,19.0,10.0,4.0,2.0,6.0,3.0,3.0,2.0,5.0,5.0,0.0,-12.0,,2026-06-13 20:30:00
Luke,Kornet,San Antonio,Spurs,New York,Knicks,0.0,1.0,10.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,-3.0,,2026-06-13 20:30:00
Mitchell,Robinson,New York,Knicks,San Antonio,Spurs,1.0,0.0,19.98333333333333,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,6.0,10.0,1.0,0.0,5.0,,2026-06-13 20:30:00
Pacome,Dadiet,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-13 20:30:00
Stephon,Castle,San Antonio,Spurs,New York,Knicks,0.0,1.0,32.05,6.0,4.0,0.0,1.0,10.0,1.0,3.0,0.0,6.0,4.0,4.0,1.0,5.0,4.0,3.0,-1.0,G,2026-06-13 20:30:00
Ariel,Hukporti,New York,Knicks,San Antonio,Spurs,1.0,0.0,1.8666666666666667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,,2026-06-13 20:30:00
De'Aaron,Fox,San Antonio,Spurs,New York,Knicks,0.0,1.0,36.766666666666666,7.0,5.0,0.0,2.0,15.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,G,2026-06-13 20:30:00
Julian,Champagnie,San Antonio,Spurs,New York,Knicks,0.0,1.0,30.666666666666668,14.0,1.0,0.0,1.0,9.0,5.0,8.0,4.0,0.0,0.0,5.0,2.0,7.0,3.0,4.0,-10.0,F,2026-06-13 20:30:00
Keldon,Johnson,San Antonio,Spurs,New York,Knicks,0.0,1.0,16.15,7.0,0.0,0.0,0.0,5.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,0.0,17.0,,2026-06-13 20:30:00
Harrison,Barnes,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Carter,Bryant,San Antonio,Spurs,New York,Knicks,0.0,0.0,5.0,5.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,,2026-06-10 20:30:00
De'Aaron,Fox,San Antonio,Spurs,New York,Knicks,0.0,0.0,37.41666666666666,18.0,7.0,1.0,2.0,16.0,6.0,9.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,G,2026-06-10 20:30:00
Mason,Plumlee,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Pacome,Dadiet,New York,Knicks,San Antonio,Spurs,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Jordan,McLaughlin,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Julian,Champagnie,San Antonio,Spurs,New York,Knicks,0.0,0.0,33.0,5.0,3.0,0.0,4.0,9.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,-4.0,F,2026-06-10 20:30:00
Jalen,Brunson,New York,Knicks,San Antonio,Spurs,1.0,1.0,44.45,36.0,7.0,0.0,3.0,25.0,12.0,7.0,3.0,11.0,9.0,5.0,0.0,5.0,1.0,3.0,11.0,G,2026-06-10 20:30:00
Landry,Shamet,New York,Knicks,San Antonio,Spurs,1.0,1.0,20.5,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,-13.0,,2026-06-10 20:30:00
Mikal,Bridges,New York,Knicks,San Antonio,Spurs,1.0,1.0,28.116666666666667,7.0,2.0,0.0,0.0,9.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-2.0,G,2026-06-10 20:30:00
Keldon,Johnson,San Antonio,Spurs,New York,Knicks,0.0,0.0,18.03333333333333,2.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,-1.0,,2026-06-10 20:30:00
Karl-Anthony,Towns,New York,Knicks,San Antonio,Spurs,1.0,1.0,25.75,13.0,2.0,0.0,0.0,5.0,4.0,1.0,1.0,4.0,4.0,8.0,2.0,10.0,4.0,3.0,17.0,C,2026-06-10 20:30:00
Luke,Kornet,San Antonio,Spurs,New York,Knicks,0.0,0.0,4.083333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-2.0,,2026-06-10 20:30:00
Victor,Wembanyama,San Antonio,Spurs,New York,Knicks,0.0,0.0,43.91666666666666,24.0,1.0,3.0,0.0,25.0,9.0,8.0,2.0,7.0,4.0,8.0,5.0,13.0,1.0,0.0,1.0,C,2026-06-10 20:30:00
Jeremy,Sochan,New York,Knicks,San Antonio,Spurs,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,,2026-06-10 20:30:00
Stephon,Castle,San Antonio,Spurs,New York,Knicks,0.0,0.0,25.933333333333334,13.0,5.0,0.0,0.0,7.0,2.0,3.0,1.0,8.0,8.0,3.0,2.0,5.0,5.0,3.0,-11.0,G,2026-06-10 20:30:00
Kelly,Olynyk,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Jordan,Clarkson,New York,Knicks,San Antonio,Spurs,1.0,1.0,4.666666666666667,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,,2026-06-10 20:30:00
Jose,Alvarado,New York,Knicks,San Antonio,Spurs,1.0,1.0,15.633333333333333,8.0,3.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,11.0,,2026-06-10 20:30:00
OG,Anunoby,New York,Knicks,San Antonio,Spurs,1.0,1.0,41.46666666666667,33.0,1.0,1.0,1.0,15.0,10.0,9.0,7.0,6.0,6.0,3.0,1.0,4.0,2.0,1.0,-1.0,F,2026-06-10 20:30:00
Lindy,Waters III,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Dylan,Harper,San Antonio,Spurs,New York,Knicks,0.0,0.0,32.266666666666666,21.0,3.0,0.0,0.0,12.0,8.0,6.0,3.0,2.0,2.0,4.0,0.0,4.0,3.0,3.0,12.0,,2026-06-10 20:30:00
Miles,McBride,New York,Knicks,San Antonio,Spurs,1.0,1.0,7.2,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,,2026-06-10 20:30:00
Devin,Vassell,San Antonio,Spurs,New York,Knicks,0.0,0.0,40.35,18.0,4.0,0.0,1.0,9.0,6.0,8.0,5.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,-7.0,F,2026-06-10 20:30:00
Josh,Hart,New York,Knicks,San Antonio,Spurs,1.0,1.0,32.8,6.0,6.0,0.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,6.0,2.0,8.0,3.0,2.0,11.0,F,2026-06-10 20:30:00
Mitchell,Robinson,New York,Knicks,San Antonio,Spurs,1.0,1.0,12.983333333333333,2.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,2.0,3.0,5.0,1.0,1.0,-14.0,,2026-06-10 20:30:00
Bismack,Biyombo,San Antonio,Spurs,New York,Knicks,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Ariel,Hukporti,New York,Knicks,San Antonio,Spurs,1.0,1.0,3.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,2026-06-10 20:30:00
Mohamed,Diawara,New York,Knicks,San Antonio,Spurs,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Tyler,Kolek,New York,Knicks,San Antonio,Spurs,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-10 20:30:00
Karl-Anthony,Towns,New York,Knicks,San Antonio,Spurs,0.0,1.0,38.03333333333333,11.0,1.0,2.0,3.0,10.0,4.0,2.0,0.0,3.0,3.0,6.0,2.0,8.0,4.0,1.0,6.0,C,2026-06-08 20:30:00
Ariel,Hukporti,New York,Knicks,San Antonio,Spurs,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Josh,Hart,New York,Knicks,San Antonio,Spurs,0.0,1.0,34.916666666666664,16.0,5.0,0.0,0.0,10.0,6.0,7.0,4.0,0.0,0.0,8.0,1.0,9.0,2.0,2.0,-7.0,F,2026-06-08 20:30:00
Jordan,Clarkson,New York,Knicks,San Antonio,Spurs,0.0,1.0,13.25,10.0,1.0,0.0,1.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,8.0,,2026-06-08 20:30:00
Jose,Alvarado,New York,Knicks,San Antonio,Spurs,0.0,1.0,12.383333333333333,4.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,5.0,,2026-06-08 20:30:00
Jalen,Brunson,New York,Knicks,San Antonio,Spurs,0.0,1.0,35.45,32.0,5.0,0.0,0.0,25.0,11.0,5.0,3.0,8.0,7.0,3.0,2.0,5.0,5.0,5.0,-9.0,G,2026-06-08 20:30:00
Dylan,Harper,San Antonio,Spurs,New York,Knicks,1.0,0.0,32.0,13.0,4.0,0.0,0.0,18.0,5.0,8.0,1.0,2.0,2.0,8.0,1.0,9.0,1.0,0.0,-8.0,,2026-06-08 20:30:00
Kelly,Olynyk,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Harrison,Barnes,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Devin,Vassell,San Antonio,Spurs,New York,Knicks,1.0,0.0,38.06666666666667,11.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,0.0,4.0,3.0,1.0,12.0,F,2026-06-08 20:30:00
De'Aaron,Fox,San Antonio,Spurs,New York,Knicks,1.0,0.0,36.68333333333333,12.0,8.0,2.0,1.0,14.0,4.0,5.0,0.0,4.0,4.0,3.0,0.0,3.0,3.0,2.0,-7.0,G,2026-06-08 20:30:00
Victor,Wembanyama,San Antonio,Spurs,New York,Knicks,1.0,0.0,38.73333333333333,32.0,6.0,3.0,2.0,18.0,11.0,4.0,2.0,9.0,8.0,7.0,1.0,8.0,3.0,1.0,7.0,C,2026-06-08 20:30:00
Bismack,Biyombo,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Stephon,Castle,San Antonio,Spurs,New York,Knicks,1.0,0.0,38.03333333333333,23.0,5.0,1.0,1.0,14.0,8.0,5.0,2.0,6.0,5.0,4.0,1.0,5.0,4.0,2.0,6.0,G,2026-06-08 20:30:00
Luke,Kornet,San Antonio,Spurs,New York,Knicks,1.0,0.0,9.266666666666667,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,1.0,0.0,-3.0,,2026-06-08 20:30:00
Lindy,Waters III,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Keldon,Johnson,San Antonio,Spurs,New York,Knicks,1.0,0.0,16.75,7.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,3.0,2.0,14.0,,2026-06-08 20:30:00
Carter,Bryant,San Antonio,Spurs,New York,Knicks,1.0,0.0,3.8,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-9.0,,2026-06-08 20:30:00
Landry,Shamet,New York,Knicks,San Antonio,Spurs,0.0,1.0,23.4,3.0,2.0,1.0,0.0,8.0,1.0,7.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,0.0,-20.0,,2026-06-08 20:30:00
Tyler,Kolek,New York,Knicks,San Antonio,Spurs,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
OG,Anunoby,New York,Knicks,San Antonio,Spurs,0.0,1.0,37.95,28.0,1.0,2.0,0.0,13.0,9.0,7.0,3.0,9.0,7.0,5.0,0.0,5.0,2.0,1.0,-3.0,F,2026-06-08 20:30:00
Mohamed,Diawara,New York,Knicks,San Antonio,Spurs,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Julian,Champagnie,San Antonio,Spurs,New York,Knicks,1.0,0.0,26.666666666666668,12.0,3.0,0.0,1.0,9.0,4.0,7.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,F,2026-06-08 20:30:00
Mason,Plumlee,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Mitchell,Robinson,New York,Knicks,San Antonio,Spurs,0.0,1.0,7.066666666666666,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,-13.0,,2026-06-08 20:30:00
Miles,McBride,New York,Knicks,San Antonio,Spurs,0.0,1.0,8.666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,2026-06-08 20:30:00
Jeremy,Sochan,New York,Knicks,San Antonio,Spurs,0.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Mikal,Bridges,New York,Knicks,San Antonio,Spurs,0.0,1.0,28.716666666666665,2.0,2.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,11.0,G,2026-06-08 20:30:00
Jordan,McLaughlin,San Antonio,Spurs,New York,Knicks,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Pacome,Dadiet,New York,Knicks,San Antonio,Spurs,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-08 20:30:00
Pacome,Dadiet,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Mohamed,Diawara,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
OG,Anunoby,New York,Knicks,San Antonio,Spurs,1.0,0.0,36.8,17.0,3.0,2.0,2.0,10.0,5.0,5.0,2.0,5.0,5.0,4.0,0.0,4.0,4.0,0.0,-9.0,F,2026-06-05 20:30:00
Luke,Kornet,San Antonio,Spurs,New York,Knicks,0.0,1.0,7.85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,2.0,0.0,-7.0,,2026-06-05 20:30:00
Carter,Bryant,San Antonio,Spurs,New York,Knicks,0.0,1.0,3.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,2026-06-05 20:30:00
Miles,McBride,New York,Knicks,San Antonio,Spurs,1.0,0.0,18.28333333333333,5.0,2.0,0.0,0.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,-1.0,,2026-06-05 20:30:00
Jordan,Clarkson,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Mason,Plumlee,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Harrison,Barnes,San Antonio,Spurs,New York,Knicks,0.0,1.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,,2026-06-05 20:30:00
Victor,Wembanyama,San Antonio,Spurs,New York,Knicks,0.0,1.0,40.31666666666667,29.0,2.0,4.0,2.0,21.0,11.0,6.0,2.0,8.0,5.0,6.0,3.0,9.0,2.0,4.0,6.0,C,2026-06-05 20:30:00
Bismack,Biyombo,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Mikal,Bridges,New York,Knicks,San Antonio,Spurs,1.0,0.0,40.88333333333333,20.0,6.0,0.0,1.0,13.0,8.0,6.0,4.0,0.0,0.0,6.0,0.0,6.0,2.0,1.0,7.0,G,2026-06-05 20:30:00
Karl-Anthony,Towns,New York,Knicks,San Antonio,Spurs,1.0,0.0,33.93333333333333,21.0,4.0,1.0,1.0,12.0,8.0,5.0,3.0,2.0,2.0,10.0,3.0,13.0,5.0,2.0,11.0,C,2026-06-05 20:30:00
Jalen,Brunson,New York,Knicks,San Antonio,Spurs,1.0,0.0,37.68333333333333,20.0,6.0,0.0,5.0,25.0,7.0,8.0,2.0,5.0,4.0,3.0,2.0,5.0,2.0,4.0,-10.0,G,2026-06-05 20:30:00
Devin,Vassell,San Antonio,Spurs,New York,Knicks,0.0,1.0,38.05,14.0,5.0,1.0,0.0,9.0,4.0,7.0,3.0,3.0,3.0,9.0,0.0,9.0,2.0,0.0,6.0,F,2026-06-05 20:30:00
Jeremy,Sochan,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Mitchell,Robinson,New York,Knicks,San Antonio,Spurs,1.0,0.0,14.05,7.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,3.0,2.0,1.0,3.0,3.0,1.0,-10.0,,2026-06-05 20:30:00
De'Aaron,Fox,San Antonio,Spurs,New York,Knicks,0.0,1.0,33.833333333333336,20.0,5.0,1.0,1.0,12.0,8.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,4.0,2.0,G,2026-06-05 20:30:00
Julian,Champagnie,San Antonio,Spurs,New York,Knicks,0.0,1.0,35.96666666666667,8.0,1.0,1.0,0.0,6.0,2.0,5.0,2.0,2.0,2.0,4.0,0.0,4.0,2.0,0.0,-8.0,F,2026-06-05 20:30:00
Stephon,Castle,San Antonio,Spurs,New York,Knicks,0.0,1.0,27.716666666666665,14.0,4.0,0.0,1.0,14.0,5.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,-6.0,G,2026-06-05 20:30:00
Jordan,McLaughlin,San Antonio,Spurs,New York,Knicks,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
Keldon,Johnson,San Antonio,Spurs,New York,Knicks,0.0,1.0,15.7,3.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,-5.0,,2026-06-05 20:30:00
Jose,Alvarado,New York,Knicks,San Antonio,Spurs,1.0,0.0,10.05,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,11.0,,2026-06-05 20:30:00
Tyler,Kolek,New York,Knicks,San Antonio,Spurs,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2026-06-05 20:30:00
